noise_type,dimension,N,physical_error_rates,final_logical_errors,initial_logical_errors,error_reduction_ratios,success_probabilities,convergence_status
depolarizing,4,32,"[0.05, 0.08947368421052632, 0.12894736842105264, 0.16842105263157894, 0.20789473684210524, 0.24736842105263157, 0.2868421052631579, 0.32631578947368417, 0.3657894736842105, 0.4052631578947368, 0.44473684210526315, 0.4842105263157894, 0.5236842105263158, 0.5631578947368421, 0.6026315789473684, 0.6421052631578947, 0.6815789473684211, 0.7210526315789474, 0.7605263157894737, 0.8]","[0.0012945827943234844, 0.002516367070380554, 0.003954884886093107, 0.005657782313156112, 0.007685779335112913, 0.010116955231425917, 0.013052653531892944, 0.016625683229786997, 0.02101178563919151, 0.026445740687558172, 0.0332440124982431, 0.041836431363288934, 0.052809849579590035, 0.06696631213914955, 0.08539534128654991, 0.10955070124331959, 0.14129964303352896, 0.18286866756948722, 0.236546526632983, 0.30397196625194534]","[0.03750000000000003, 0.06710526315789478, 0.09671052631578952, 0.1263157894736842, 0.15592105263157893, 0.18552631578947368, 0.21513157894736842, 0.24473684210526309, 0.27434210526315783, 0.3039473684210526, 0.3335526315789473, 0.36315789473684207, 0.3927631578947368, 0.42236842105263156, 0.4519736842105263, 0.48157894736842105, 0.5111842105263158, 0.5407894736842105, 0.5703947368421053, 0.6000000000000001]","[0.034522207848626224, 0.03749880340174941, 0.04089404780177905, 0.04479077664581923, 0.04929276198047101, 0.05453110621194111, 0.060672884918890745, 0.06793289921848453, 0.07658972223398346, 0.0870076316993256, 0.0996664674503541, 0.11520176752209997, 0.13445723846059776, 0.15854952406776843, 0.18893874636907695, 0.22748233045060898, 0.27641629010420077, 0.3381513074277623, 0.41470671335886294, 0.5066199437532422]","[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False]"
depolarizing,4,64,"[0.05, 0.08947368421052632, 0.12894736842105264, 0.16842105263157894, 0.20789473684210524, 0.24736842105263157, 0.2868421052631579, 0.32631578947368417, 0.3657894736842105, 0.4052631578947368, 0.44473684210526315, 0.4842105263157894, 0.5236842105263158, 0.5631578947368421, 0.6026315789473684, 0.6421052631578947, 0.6815789473684211, 0.7210526315789474, 0.7605263157894737, 0.8]","[0.0006484094164722898, 0.0012624102441554375, 0.001987890444784285, 0.0028502917440683395, 0.0038824214095897758, 0.005127056771040334, 0.006640645857219241, 0.008498640112074879, 0.01080329206536404, 0.013695228245097862, 0.017370879597286976, 0.022109097753070628, 0.02831226493402203, 0.03657021025754206, 0.04775930102449216, 0.0631927918378273, 0.08483544466386636, 0.11556457199703238, 0.15934807024545436, 0.2209342255635595]","[0.03750000000000003, 0.06710526315789478, 0.09671052631578952, 0.1263157894736842, 0.15592105263157893, 0.18552631578947368, 0.21513157894736842, 0.24473684210526309, 0.27434210526315783, 0.3039473684210526, 0.3335526315789473, 0.36315789473684207, 0.3927631578947368, 0.42236842105263156, 0.4519736842105263, 0.48157894736842105, 0.5111842105263158, 0.5407894736842105, 0.5703947368421053, 0.6000000000000001]","[0.01729091777259438, 0.018812387952120233, 0.0205550576603545, 0.022564809640541025, 0.024899917901166496, 0.02763519961695499, 0.030867833954046624, 0.03472562626439199, 0.03937890632938452, 0.04505789379339557, 0.05207837670192546, 0.06088012424758579, 0.07208482864273616, 0.08658367537611206, 0.1056683224996042, 0.1312200049091496, 0.16595865622789815, 0.2136960455419577, 0.2793645522180976, 0.3682237092725991]","[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
symmetric_pauli,2,8,"[0.05, 0.08947368421052632, 0.12894736842105264, 0.16842105263157894, 0.20789473684210524, 0.24736842105263157, 0.2868421052631579, 0.32631578947368417, 0.3657894736842105, 0.4052631578947368, 0.44473684210526315, 0.4842105263157894, 0.5236842105263158, 0.5631578947368421, 0.6026315789473684, 0.6421052631578947, 0.6815789473684211, 0.7210526315789474, 0.7605263157894737, 0.8]","[0.00030869999999999807, 0.0006170839941375814, 0.000989537593327272, 0.0014328252484250592, 0.001954022181382888, 0.0025605143852487316, 0.0032599986241664573, 0.0040604824333760284, 0.004970284119213331, 0.005998032759110221, 0.007152668201594495, 0.008443441066290181, 0.009879912743916948, 0.011471955396290671, 0.013229751956323256, 0.015163796128022329, 0.017284892386491797, 0.01960415597793144, 0.022133012919636895, 0.02488320000000001]","[0.03333333333333335, 0.0596491228070176, 0.08596491228070179, 0.11228070175438594, 0.13859649122807022, 0.1649122807017544, 0.19122807017543866, 0.21754385964912287, 0.24385964912280703, 0.2701754385964913, 0.2964912280701754, 0.32280701754385965, 0.34912280701754383, 0.37543859649122807, 0.4017543859649122, 0.42807017543859643, 0.4543859649122807, 0.4807017543859651, 0.5070175438596491, 0.5333333333333334]","[0.009260999999999938, 0.01034523166642415, 0.0115109475142152, 0.012761099868785685, 0.014098641055547416, 0.01552652339991252, 0.017047699227292476, 0.01866512086309948, 0.020381740632745313, 0.022200510861641723, 0.02412438387520037, 0.02615631199883371, 0.02829924755795307, 0.03055614287797048, 0.03292995028429807, 0.03542362210234725, 0.038040110657530206, 0.04078236827525882, 0.04365334728094474, 0.04665600000000001]","[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
symmetric_pauli,2,16,"[0.05, 0.08947368421052632, 0.12894736842105264, 0.16842105263157894, 0.20789473684210524, 0.24736842105263157, 0.2868421052631579, 0.32631578947368417, 0.3657894736842105, 0.4052631578947368, 0.44473684210526315, 0.4842105263157894, 0.5236842105263158, 0.5631578947368421, 0.6026315789473684, 0.6421052631578947, 0.6815789473684211, 0.7210526315789474, 0.7605263157894737, 0.8]","[6.482699999999856e-05, 0.00013445935451209995, 0.00022342717238807582, 0.00033482863700036664, 0.00047205062171302813, 0.0006387809571620628, 0.0008390206985354692, 0.001077096392853434, 0.0013576723462482832, 0.0016857628912446646, 0.0020667446540397, 0.0025063688217829855, 0.0030107734098567857, 0.0035864955291561315, 0.004240483653368883, 0.004980109886255731, 0.005813182228930645, 0.006747956847140594, 0.0077931503385458055, 0.008957952000000028]","[0.03333333333333338, 0.05964912280701757, 0.08596491228070177, 0.11228070175438593, 0.13859649122807025, 0.16491228070175445, 0.19122807017543864, 0.21754385964912282, 0.24385964912280692, 0.2701754385964913, 0.2964912280701756, 0.3228070175438596, 0.34912280701754383, 0.37543859649122807, 0.4017543859649123, 0.42807017543859643, 0.4543859649122807, 0.48070175438596513, 0.5070175438596493, 0.5333333333333334]","[0.001944809999999954, 0.0022541715315263808, 0.0025990507808408814, 0.0029820675482845165, 0.0034059348655243785, 0.0038734589955571872, 0.004387539432708416, 0.004951168902632721, 0.005567433362313106, 0.00623951200006142, 0.006970677235518512, 0.007764294719653815, 0.008623823334765668, 0.009552815194481284, 0.010554915643756609, 0.011633863258876095, 0.012793489847453543, 0.014037720448431157, 0.01537057333207996, 0.01679616000000005]","[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
symmetric_pauli,2,32,"[0.05, 0.08947368421052632, 0.12894736842105264, 0.16842105263157894, 0.20789473684210524, 0.24736842105263157, 0.2868421052631579, 0.32631578947368417, 0.3657894736842105, 0.4052631578947368, 0.44473684210526315, 0.4842105263157894, 0.5236842105263158, 0.5631578947368421, 0.6026315789473684, 0.6421052631578947, 0.6815789473684211, 0.7210526315789474, 0.7605263157894737, 0.8]","[1.361366999999798e-05, 2.929798566735566e-05, 5.044750366025085e-05, 7.824416569904389e-05, 0.00011403749229801794, 0.00015935903878673376, 0.00021593743241256892, 0.00028571399052535395, 0.0003708589198436156, 0.0004737880968024645, 0.0005971804289830659, 0.0007439957976239964, 0.0009174935812142564, 0.001121251760167764, 0.001359186602579845, 0.0016355729310650285, 0.001955064970677197, 0.0023227177779105044, 0.0027440092507827188, 0.0032248627200000203]","[0.03333333333333334, 0.0596491228070176, 0.08596491228070181, 0.11228070175438594, 0.1385964912280702, 0.1649122807017544, 0.19122807017543866, 0.21754385964912282, 0.24385964912280694, 0.2701754385964912, 0.2964912280701755, 0.32280701754385965, 0.34912280701754383, 0.3754385964912282, 0.4017543859649124, 0.42807017543859655, 0.4543859649122808, 0.480701754385965, 0.5070175438596491, 0.5333333333333334]","[0.0004084100999999393, 0.0004911721126586091, 0.0005868383078845503, 0.0006968621007571098, 0.0008228021596186103, 0.0009663260862599812, 0.001129214096102424, 0.0013133626983826755, 0.0015207883763371293, 0.0017536312673857456, 0.0020141588433156654, 0.0023047695904656407, 0.002627996689910182, 0.002986511697643109, 0.0033831282247620584, 0.0038208056176519106, 0.004302652638169892, 0.004831931143828421, 0.0054120597679797565, 0.006046617600000037]","[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
symmetric_pauli,2,64,"[0.05, 0.08947368421052632, 0.12894736842105264, 0.16842105263157894, 0.20789473684210524, 0.24736842105263157, 0.2868421052631579, 0.32631578947368417, 0.3657894736842105, 0.4052631578947368, 0.44473684210526315, 0.4842105263157894, 0.5236842105263158, 0.5631578947368421, 0.6026315789473684, 0.6421052631578947, 0.6815789473684211, 0.7210526315789474, 0.7605263157894737, 0.8]","[2.8588707000203515e-06, 6.383876876971714e-06, 1.1390515300120546e-05, 1.828442608966298e-05, 2.754905734991259e-05, 3.975588651835261e-05, 5.557547602616398e-05, 7.578939538145055e-05, 0.00010130304178885813, 0.00013315939141711778, 0.00017255371342718507, 0.00022084927887362752, 0.000279594096591088, 0.00035053870817875675, 0.00043565507419533744, 0.0005371565836760801, 0.0006575192190856371, 0.0007995039088175758, 0.0009661800993545641, 0.001160950579200027]","[0.03333333333333337, 0.059649122807017556, 0.08596491228070179, 0.11228070175438601, 0.13859649122807016, 0.16491228070175434, 0.1912280701754387, 0.2175438596491228, 0.24385964912280703, 0.2701754385964913, 0.2964912280701755, 0.3228070175438596, 0.34912280701754395, 0.37543859649122807, 0.4017543859649122, 0.4280701754385965, 0.45438596491228084, 0.4807017543859651, 0.5070175438596491, 0.5333333333333335]","[8.576612100061046e-05, 0.0001070238182315846, 0.00013250191267487162, 0.00016284566986106086, 0.0001987716796132934, 0.00024107292888788292, 0.0002906240489441601, 0.00034838673683408724, 0.0004154153512204973, 0.0004928626825179034, 0.0005819858973579613, 0.0006841526573802592, 0.0008008474123463324, 0.0009336778675789315, 0.001084381625726386, 0.0012548330028498594, 0.001447050018837116, 0.001663201562138752, 0.0019056147288308012, 0.0021767823360000498]","[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
dephasing,2,8,"[0.05, 0.08947368421052632, 0.12894736842105264, 0.16842105263157894, 0.20789473684210524, 0.24736842105263157, 0.2868421052631579, 0.32631578947368417, 0.3657894736842105, 0.4052631578947368, 0.44473684210526315, 0.4842105263157894, 0.5236842105263158, 0.5631578947368421, 0.6026315789473684, 0.6421052631578947, 0.6815789473684211, 0.7210526315789474, 0.7605263157894737, 0.8]","[0.00027862875050162027, 0.0007142577516550481, 0.00038692506788619974, 0.0012522203570541045, 0.0016603429364800565, 0.001975022419207414, 0.0014563650715108559, 0.002500440595729855, 0.0025832388465384304, 0.0029273655111455186, 0.0028239001862737454, 0.003858840877379091, 0.0024130923252094713, 0.004448775250599439, 0.004088942388068721, 0.0024385403306820563, 0.005147477041342264, 0.00511040305025939, 0.006048195038666503, 0.004533360568184909]","[0.034828593812701036, 0.0892822189568806, 0.04836563348577511, 0.15652754463176663, 0.20754286706000583, 0.24687780240092813, 0.18204563393885922, 0.3125550744662305, 0.3229048558173075, 0.3659206888931899, 0.35298752328421934, 0.48235510967238426, 0.3016365406511818, 0.5560969063249278, 0.5111177985085882, 0.30481754133525735, 0.6434346301677849, 0.6388003812824247, 0.7560243798333127, 0.5666700710231151]","[0.008000000000000344, 0.008000000000000038, 0.007999999999999976, 0.007999999999999818, 0.008000000000000047, 0.007999999999999955, 0.007999999999999901, 0.008000000000000035, 0.007999999999999908, 0.007999999999999998, 0.007999999999999974, 0.008000000000000035, 0.008000000000000056, 0.00800000000000003, 0.008000000000000031, 0.007999999999999991, 0.007999999999999976, 0.007999999999999988, 0.008000000000000002, 0.00799999999999998]","[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
dephasing,2,16,"[0.05, 0.08947368421052632, 0.12894736842105264, 0.16842105263157894, 0.20789473684210524, 0.24736842105263157, 0.2868421052631579, 0.32631578947368417, 0.3657894736842105, 0.4052631578947368, 0.44473684210526315, 0.4842105263157894, 0.5236842105263158, 0.5631578947368421, 0.6026315789473684, 0.6421052631578947, 0.6815789473684211, 0.7210526315789474, 0.7605263157894737, 0.8]","[7.484077063727136e-05, 8.689861094302483e-05, 0.0001993151661812013, 0.00022441485080200462, 0.0002783623594438309, 0.0003901416402444287, 0.0004566172655175389, 0.00050654221636827, 1.6588966761413824e-05, 0.0006350310340915716, 0.0005859523478025379, 0.0006701564834702136, 0.0006496990874421463, 0.0009010503682519982, 0.0009212418075752147, 0.0002098307044906076, 0.00029047029501062045, 0.001113662197224733, 0.0011391966009972514, 0.001213959745224448]","[0.046775481648306506, 0.05431163183938182, 0.12457197886327406, 0.14025928175122993, 0.1739764746523822, 0.24383852515278737, 0.28538579094847216, 0.31658888523016576, 0.010368104225883645, 0.3968943963072393, 0.3662202173766024, 0.41884780216888395, 0.4060619296513291, 0.5631564801575154, 0.5757761297345071, 0.1311441903066336, 0.18154393438164046, 0.6960388732654506, 0.711997875623289, 0.7587248407652791]","[0.0015999999999995926, 0.0016000000000002562, 0.0015999999999997013, 0.001600000000000262, 0.0016000000000001115, 0.0015999999999998726, 0.001599999999999942, 0.001600000000000015, 0.0015999999999999992, 0.0015999999999999715, 0.0015999999999999292, 0.0015999999999999983, 0.0016000000000000486, 0.001599999999999953, 0.0016000000000000057, 0.001599999999999953, 0.0015999999999999764, 0.0016000000000000172, 0.0015999999999999847, 0.0016000000000000018]","[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
dephasing,2,32,"[0.05, 0.08947368421052632, 0.12894736842105264, 0.16842105263157894, 0.20789473684210524, 0.24736842105263157, 0.2868421052631579, 0.32631578947368417, 0.3657894736842105, 0.4052631578947368, 0.44473684210526315, 0.4842105263157894, 0.5236842105263158, 0.5631578947368421, 0.6026315789473684, 0.6421052631578947, 0.6815789473684211, 0.7210526315789474, 0.7605263157894737, 0.8]","[1.3905269010547719e-05, 2.469403335630539e-05, 1.9760871198629338e-05, 4.9881769008772865e-05, 3.869301621300807e-05, 4.9141238800923686e-05, 3.468848236330618e-05, 9.015496773935384e-05, 0.00010208173351970854, 9.290328175328912e-05, 0.00013596329476304474, 8.355984582087585e-05, 0.00011204254343614042, 0.00010283283499781564, 0.0001275512008669504, 0.00014122230502555352, 0.00020250921543169264, 0.00015701549561871058, 0.0002222512618954668, 0.0002555948921854554]","[0.04345396565788342, 0.07716885423849786, 0.061752722495714084, 0.15588052815238132, 0.12091567566560711, 0.15356637125281536, 0.10840150738530924, 0.2817342741854397, 0.31900541724915893, 0.2903227554789728, 0.42488529613447634, 0.26112451819031524, 0.3501329482380125, 0.3213526093681585, 0.39859750270927496, 0.4413197032048187, 0.6328412982240259, 0.49067342380848983, 0.694535193423319, 0.798734038079491]","[0.0003200000000005759, 0.00031999999999981956, 0.00032000000000001347, 0.0003200000000000696, 0.0003200000000001141, 0.0003200000000001483, 0.00032000000000006665, 0.0003200000000000466, 0.00031999999999993004, 0.0003200000000000614, 0.000320000000000029, 0.0003199999999999042, 0.00031999999999993264, 0.00032000000000001526, 0.0003199999999999559, 0.0003200000000000261, 0.00032000000000000686, 0.00031999999999998745, 0.00032000000000000675, 0.0003200000000000229]","[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
dephasing,2,64,"[0.05, 0.08947368421052632, 0.12894736842105264, 0.16842105263157894, 0.20789473684210524, 0.24736842105263157, 0.2868421052631579, 0.32631578947368417, 0.3657894736842105, 0.4052631578947368, 0.44473684210526315, 0.4842105263157894, 0.5236842105263158, 0.5631578947368421, 0.6026315789473684, 0.6421052631578947, 0.6815789473684211, 0.7210526315789474, 0.7605263157894737, 0.8]","[2.8082444496730696e-06, 4.215233333690343e-06, 7.946117733443906e-06, 1.0515212322593996e-05, 1.2174756141028352e-05, 1.582579317466623e-05, 1.1297144528965851e-05, 1.976113256811165e-05, 1.9032312809070127e-05, 2.3266465048581513e-05, 2.8422999715318473e-05, 3.098756302420688e-05, 2.7588491551125162e-05, 3.601370482097508e-05, 3.128405862876747e-05, 1.7840718243048677e-05, 4.3571371460155895e-05, 2.9900193238520446e-05, 3.9854899799630145e-05, 2.2702584616763915e-05]","[0.04387881952603349, 0.06586302083860808, 0.12415808958483891, 0.16430019254029357, 0.1902305647033028, 0.24727801835421295, 0.1765178832653761, 0.3087676963766224, 0.29737988764213774, 0.3635385163842594, 0.4441093705518897, 0.4841806722535483, 0.4310701804859479, 0.5627141378281146, 0.48881341607457646, 0.2787612225474394, 0.6808026790649999, 0.46719051935174605, 0.6227328093691682, 0.354727884636852]","[6.400000000015786e-05, 6.400000000029495e-05, 6.40000000001145e-05, 6.400000000009256e-05, 6.400000000008923e-05, 6.399999999998625e-05, 6.399999999989678e-05, 6.400000000002531e-05, 6.399999999991025e-05, 6.39999999999695e-05, 6.399999999999444e-05, 6.399999999995826e-05, 6.400000000005682e-05, 6.399999999995689e-05, 6.399999999998891e-05, 6.400000000004503e-05, 6.399999999999398e-05, 6.400000000001862e-05, 6.400000000000543e-05, 6.400000000001519e-05]","[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
